exchange,ticker
B3,SLCE3
B3,JBSS3
B3,CMIN3
B3,ABEV3
B3,TAEE11
B3,KLBN11
B3,DXCO3
B3,RADL3
B3,MULT3
B3,ITUB4
B3,PRIO3
B3,RRRP3
B3,MRVE3
B3,SBSP3
B3,BRAP4
B3,ELET6
B3,MRFG3
B3,COGN3
B3,USIM5
B3,CASH3
B3,TIMS3
B3,ITSA4
B3,CPFE3
B3,RENT3
B3,CIEL3
B3,TOTS3
B3,QUAL3
B3,NTCO3
B3,BBSE3
B3,SOMA3
B3,ASAI3
B3,CSNA3
B3,PETR3
B3,FLRY3
B3,ALPA4
B3,BBDC3
B3,POSI3
B3,HYPE3
B3,BPAN4
B3,GOAU4
B3,SUZB3
B3,BRFS3
B3,SANB11
B3,LREN3
B3,AZUL4
B3,BRKM5
B3,GOLL4
B3,RDOR3
B3,BBAS3
B3,PETR4
B3,ENGI11
B3,EGIE3
B3,EMBR3
B3,CRFB3
B3,VALE3
B3,EZTC3
B3,PETZ3
B3,IGTI11
B3,HAPV3
B3,PCAR3
B3,AMER3
B3,GGBR4
B3,RAIL3
B3,BBDC4
B3,EQTL3
B3,ENEV3
B3,B3SA3
B3,WEGE3
B3,LWSA3
B3,IRBR3
B3,CPLE6
B3,MGLU3
B3,VIVT3
B3,ECOR3
B3,BEEF3
B3,YDUQ3
B3,CYRE3
B3,JHSF3
B3,ELET3
B3,BPAC11
B3,CCRO3
B3,UGPA3
B3,CSAN3
B3,CMIG4
B3,CVCB3
B3,GFSA3
B3,MOVI3
B3,TEND3
B3,AERI3
B3,VAMO3
B3,HBSA3
B3,IFCM3
B3,VBBR3
B3,RAIZ4
B3,ANIM3
B3,SEQL3
B3,CPLE3
B3,PSSA3
B3,BMOB3
B3,AGRO3
B3,ARML3
B3,PGMN3
B3,DMVF3
B3,VITT3
B3,ABCB4
B3,MBLY3
B3,PDGR3
B3,ESPA3
B3,DIRR3
B3,ALPK3
B3,SANB4
B3,VULC3
B3,MYPK3
B3,KLBN4
B3,TFCO4
B3,PORT3
B3,VLID3
B3,SAPR3
B3,ORVR3
B3,CURY3
B3,LIGT3
B3,CEAB3
B3,SRNA3
B3,PINE4
B3,MLAS3
B3,BRIT3
B3,HBRE3
B3,AZEV3
B3,SGPS3
B3,MEAL3
B3,TRPL4
B3,TASA4
B3,CMIG3
B3,ARZZ3
B3,ALLD3
B3,KLBN3
B3,PTBL3
B3,PLPL3
B3,POMO3
B3,NGRD3
B3,BMGB4
B3,RCSL3
B3,LVTC3
B3,ALOS3
B3,DESK3
B3,TGMA3
B3,WIZC3
B3,TUPY3
B3,ZAMP3
B3,MILS3
B3,OPCT3
B3,TTEN3
B3,ENJU3
B3,USIM3
B3,CXSE3
B3,SIMH3
B3,ELMD3
B3,MATD3
B3,MDIA3
B3,EVEN3
B3,MTRE3
B3,ITSA3
B3,SANB3
B3,BLAU3
B3,CLSA3
B3,BIOM3
B3,AURE3
B3,COCE5
B3,JSLG3
B3,ITUB3
B3,SBFG3
B3,SAPR4
B3,CSMG3
B3,ETER3
B3,LOGG3
B3,SEER3
B3,RECV3
B3,OIBR3
B3,FIQE3
B3,TAEE4
B3,CSED3
B3,AMBP3
B3,KEPL3
B3,HBOR3
B3,PNVL3
B3,MDNE3
B3,SMTO3
B3,FESA4
B3,RAPT4
B3,BHIA3
B3,GGBR3
B3,RANI3
B3,ENAT3
B3,VIVA3
B3,AGXY3
B3,GRND3
B3,ODPV3
B3,AESB3
B3,POMO4
B3,UNIP6
B3,PFRM3
B3,CAML3
B3,GGPS3
B3,BRSR6
B3,SMFT3
B3,VVEO3
B3,CBAV3
B3,SOJA3
B3,AMAR3
B3,SYNE3
B3,GUAR3
B3,INTB3
B3,ONCO3
B3,MELK3
B3,NEOE3
B3,AZEV4
B3,EUCA4
B3,FRAS3
B3,DASA3
B3,LAVV3
B3,RCSL4
B3,TAEE3
B3,TRIS3
B3,STBP3
B3,DEXP3
B3,LJQQ3
B3,SHOW3
B3,ROMI3
B3,JALL3
B3,PRNR3
B3,SHUL4
B3,LEVE3
B3,GMAT3
