exchange,ticker
B3,RRRP3
B3,ALOS3
B3,ALPA4
B3,ABEV3
B3,ARZZ3
B3,ASAI3
B3,AZUL4
B3,B3SA3
B3,BBSE3
B3,BBDC3
B3,BBDC4
B3,BRAP4
B3,BBAS3
B3,BRKM5
B3,BRFS3
B3,BPAC11
B3,CRFB3
B3,CCRO3
B3,CMIG4
B3,CIEL3
B3,COGN3
B3,CPLE6
B3,CSAN3
B3,CPFE3
B3,CMIN3
B3,CVCB3
B3,CYRE3
B3,DXCO3
B3,ELET3
B3,ELET6
B3,EMBR3
B3,ENGI11
B3,ENEV3
B3,EGIE3
B3,EQTL3
B3,EZTC3
B3,FLRY3
B3,GGBR4
B3,GOAU4
B3,NTCO3
B3,SOMA3
B3,HAPV3
B3,HYPE3
B3,IGTI11
B3,IRBR3
B3,ITSA4
B3,ITUB4
B3,JBSS3
B3,KLBN11
B3,RENT3
B3,LREN3
B3,LWSA3
B3,MGLU3
B3,MRFG3
B3,BEEF3
B3,MRVE3
B3,MULT3
B3,PCAR3
B3,PETR3
B3,PETR4
B3,RECV3
B3,PRIO3
B3,PETZ3
B3,RADL3
B3,RAIZ4
B3,RDOR3
B3,RAIL3
B3,SBSP3
B3,SANB11
B3,SMTO3
B3,CSNA3
B3,SLCE3
B3,SUZB3
B3,TAEE11
B3,VIVT3
B3,TIMS3
B3,TOTS3
B3,TRPL4
B3,UGPA3
B3,USIM5
B3,VALE3
B3,VAMO3
B3,VBBR3
B3,VIVA3
B3,WEGE3
B3,YDUQ3
